a,"
'''﻿a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
berti,"
'''berti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is to the northern side of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo berti''' — northern. 
:'''lo za'u grute purdi cu berti le tcadu''' — ''Fruit gardens are to the north of the city.''
:Related words: '''snanu''', '''stici''', '''stuna''', '''farna'''"
besna,"
'''besna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a brain of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo besna''' — brain. 
:'''ro remna cu se besna''' — ''All humans have brains.''
:Related words: '''menli''', '''stedu''', '''rango''', '''pensi'''"
betfu,"
'''betfu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a belly, abdomen, lower trunk of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo betfu''' — abdomen, belly. 
:'''lo betfu be mi cu se cortu''' — ''My belly hurts.''
:Related words: '''cutne''', '''livga''', '''canti'''"
betka,"
'''betka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a beet of variety  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo betka''' — beet. 
:'''ti ciblu na je betka''' — ''It's not blood. It's beet.''
:Related words: '''stagi'''"
betri,"
'''betri''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a tragedy for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo betri''' — tragedy. 
:'''pu betri le nakni fa lo ka co'u se bersa pa da''' — ''It was a tragedy for him to lose his only son.''
:Related words: '''badri''', '''xlali''', '''morsi''', '''binra'''"
bevri,"
'''bevri''' — ''x<sub>1</sub><sub>(entity)</sub>''  brings, transports, carries  ''x<sub>2</sub><sub>(entity)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>''  from  ''x<sub>4</sub><sub>(entity)</sub>''  by path  ''x<sub>5</sub><sub>(entity)</sub>''
:'''lo bevri''' — carrier. '''lo se bevri''' — cargo. 
:'''mi pu bevri lo patxu be lo nudle fu'e ta'o fi lo purdi fo lo jukpa kumfa fu lo rokci dargu fu'o''' — ''I carried a bowl of noodles (to the garden from the kitchen via a rocky road).''
:'''la Kevin pu bevri lo gerku lo zdani''' — ''Kevin brought a dog home.''
:'''mi pu bevri lo fonxa fo lo daski''' — ''I took the phone out of the pocket.''
:Comment: alternatively '''se''' '''ka'a''' can be used to specify where the thing is brought, '''te''' '''ka'a''' - from where it is brought, '''ve''' '''ka'a''' - via what path it is brought.
:Related words: '''bevri''', '''marce''', '''muvdu''', '''benji''', '''klama'''"
bi,"
'''bi''' <small>[digit/number]</small> — ''8'', ''eight''
:'''bi flora ca zvati le purdi''' — ''There are 9 pencils that I use.''"
bi'i,"
'''bi'i''' <small>[conjunction]</small> — ''between ... and ...''
:'''mi sanli lo dinju bi'i lo rirxe''' — ''I am standing between a house and a river.''"
bi'o,"
'''bi'o''' <small>[conjunction]</small> — ''between ... and ...'' (ordered)
:'''mi gunka de'i li cy bi bi'o li cy pa ze''' — ''I work from 8 to 17 o'clock.''"
bi'u,"
'''bi'u''' <small>[interjection]</small> — newly introduced information, '''bi'u''' '''nai''' — previously introduced information
:'''lo bi'u nai nixli pu klama lo panka i bi'u ny ca tavla lo nanla bu'u py''' — ''That girl (mentioned earlier), she went to a park. What is new is that she is talking to a boy there.''
:Related words: '''cnino'''"
bidju,"
'''bidju''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bead or pebble
:'''lo bidju''' — pebble, bead. 
:'''mu bidju pu zvati ti''' — ''There were five pebbles here.''
:Related words: '''bolci''', '''canre''', '''lakse''', '''dirgo'''"
bifce,"
'''bifce''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bee or wasp of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bifce''' — bee, wasp. 
:'''lo bifce cu vofli ne'a lo flora''' — ''Bees are flying near the flowers.''
:Related words: '''cinki''', '''sfani''', '''lakse'''"
bikla,"
'''bikla''' — ''x<sub>1</sub><sub>(entity)</sub>''  whips, lashes
:'''lo bikla''' — whip. 
:'''lo carvi pu bikla tai lo ka janli lo canko''' — ''The rain whipped against the window.''
:Related words: '''skori''', '''darxi'''"
bilga,"
'''bilga''' — ''x<sub>1</sub><sub>(entity)</sub>''  is obligated to do  ''x<sub>2</sub><sub>(property of x1)</sub>''  by agreement  ''x<sub>3</sub><sub>(proposition)</sub>'' 
:'''lo se bilga''' — obligation, duty. 
:'''mi bilga lo ka jai gau volve fai lo vi cukta ca lo cabdei vau lo pu se nupre be mi''' — ''I must return this book today fulfilling my earlier promise.''
:Related words: '''zifre''', '''fuzme'''"
bilma,"
'''bilma''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ill or sick with symptoms  ''x<sub>2</sub><sub>(property of x1)</sub>''  from disease  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo bilma''' — ill. '''lo se bilma''' — symptom of an illness. '''lo te bilma''' — disease. 
:'''ra pu terpa lo ka co'a bilma fi la Zukam''' — ''She was afraid to catch a cold.''
:'''mi bilma lo ka cortu lo denci vau lo influ'enza''' — ''I've got the flu and my teeth hurt.''
:Related words: '''kanro''', '''mikce''', '''spita''', '''senci''', '''kafke''', '''binra'''"
binra,"
'''binra''' — ''x<sub>1</sub><sub>(entity)</sub>''  insures  ''x<sub>2</sub><sub>(entity)</sub>''  against threat  ''x<sub>3</sub><sub>(clause)</sub>''  with benefit  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo binra''' — insurer, underwriter. '''lo se binra''' — insured thing or person. '''lo ve binra''' — insurance compensation. 
:'''lo kagni cu binra lo se esporte lo xrani lo ka pleji lo jdini''' — ''The company insures the sportsman against injuries by paying money as an insurance.''
:Related words: '''bandu''', '''cirko''', '''betri''', '''basti''', '''bilma'''"
binxo,"
'''binxo''' — ''x<sub>1</sub><sub>(entity)</sub>''  transforms into  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''ba zi ku mi binxo lo gleki''' — ''Soon I will become happy.''
:'''do pu binxo lo lazni''' — ''You became lazy.''
:Comment: '''binxo''' describes that entity turns into another entity, '''galfi''' is ''to turn one entity into another one''. '''cenba''' describes how entity changes its state while remaining the same entity, '''stika''' is ''to make entity change its state''.
:Related words: '''cenba''', '''galfi''', '''stika''', '''zasni'''"
birje,"
'''birje''' — ''x<sub>1</sub><sub>(entity)</sub>''  some beer brewed from  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo birje''' — beer, ale. 
:'''ti birje lo badna''' — ''This is banana beer.''
:Related words: '''pinxe''', '''barja''', '''jikru''', '''vanju''', '''xalka''', '''fusra'''"
birka,"
'''birka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an arm of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo birka''' — arm. 
:'''ra jai se torni lo birka be mi''' — ''She twisted my arm.''
:Related words: '''jimca''', '''janco''', '''xance''', '''rebla'''"
birti,"
'''birti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is convinced that  ''x<sub>2</sub><sub>(proposition)</sub>''  is true
:'''lo birti''' — convinced, sure. 
:'''mi birti lo du'u do ba snada''' — ''I am sure you will succeed.''
:'''xu do mo'u jai gau birti fai loi rirni lo nu le nu litru na ckape''' — ''Have you persuaded your parents that the journey wouldn't be dangerous?''
:Related words: '''jetnu''', '''jinvi''', '''krici''', '''djuno''', '''senpi''', '''sruma'''"
bisli,"
'''bisli''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some ice
:'''lo bisli''' — ice. 
:'''au mi viska lo bisli cmana''' — ''I'd like to see ice mountains.''
:Related words: '''kunra''', '''runme''', '''lenku''', '''krili''', '''bratu''', '''snime''', '''carvi'''"
bitmu,"
'''bitmu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wall of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bitmu''' — fence, wall. '''lo se bitmu''' — building with walls. 
:'''lo bitmu be lo purdi ce lo foldi cu rotsu''' — ''The fence between the garden and the field is thick.''
:'''pa lo vi bitmu be le malsi cu sinxa lo pu nu le gugde cu vlipa''' — ''One of these walls of the temple is a sign of the past power of the country.''
:Related words: '''jbini''', '''sepli''', '''fendi''', '''canko''', '''drudi''', '''kumfa''', '''loldi''', '''senta''', '''snuji''', '''pagre''', '''gacri''', '''kuspe''', '''marbi''', '''vorme'''"
bitni,"
'''bitni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  bits in size
:'''lo se bitni''' — bit (data). 
:'''lo vi vreji cu bitni lo kilto''' — ''This file is 1000 bit.''
:Related words: '''datni'''"
blabi,"
'''blabi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is white
:'''lo blabi''' — white. 
:'''lo denci be le fetsi pu blabi''' — ''Her teeth were white.''
:Related words: '''skari''', '''xekri''', '''grusi''', '''kandi''', '''manku''', '''carmi''', '''bakri''', '''blanu''', '''bunre''', '''cicna''', '''crino''', '''narju''', '''nukni''', '''pelxu''', '''xunre''', '''zirpu'''"
blaci,"
'''blaci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some glass
:'''lo blaci''' — glass (substance). 
:'''le kabri cu blaci''' — ''The cup is made of glass.''
:Related words: '''kabri'''"
blanu,"
'''blanu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is blue
:'''lo blanu''' — blue. 
:'''lo tsani cu blanu ca lo cabdei''' — ''The sky is blue today.''
:Related words: '''skari''', '''blabi''', '''xekri''', '''zirpu''', '''kandi''', '''carmi''', '''cicna'''"
blato,"
'''blato''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a cockroach, termite of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo blato''' — cockroach. 
:'''lo blato cu mipri lo nei ca lo donri''' — ''Cockroaches hide themselves during daytime.''
:Related words: '''cinki''', '''civla''', '''manti'''"
bliku,"
'''bliku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a block
:'''lo bliku''' — block. 
:'''le dinju cu te zbasu lo rokci bliku''' — ''The house is built of stone blocks.''
:Related words: '''tapla''', '''kubli''', '''tanbo''', '''canlu''', '''kojna''', '''sefta''', '''bolci''', '''kurfa''', '''tarmi'''"
blondine,"
'''blondine''' — ''x<sub>1</sub><sub>(entity)</sub>''  is blond, fair-haired
:'''lo blondine''' — blond. 
:'''lo blondine nixli pu tsuku te zu'e lo ka penmi do''' — ''A girl with blond hair arrived to meet you.''
:Comment: ''blond'' is a color special to mammal and human hair.
:Related words: '''brunete''', '''kerfa'''"
bloti,"
'''bloti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a boat or ship for carrying  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bloti''' — boat. '''lo se bloti''' — cargo of a boat, passenger of a boat. 
:'''mi pu ca'o se bloti lo te falnu''' — ''I was a passenger on a sailboat.''
:Related words: '''falnu''', '''fulta''', '''marce''', '''jatna''', '''sabnu'''"
bo,"
'''bo''' <small>[1st meaning]</small> — more tightly binds two parts inside a compound verb
:'''mi pu penmi lo drata merko bo jbopre''' — ''I met another American Lojbanist.''
:'''ko catlu lo cmalu ractu kevna''' — ''Look at a hole of small rabbits.''
:'''ko catlu lo cmalu ractu bo kevna''' — ''Look at a rabbit hole that it small.''
:Related words: '''ke'''"
bo ,"
'''bo ''' <small>[2nd meaning]</small> — placed after preposition to bind the sentence to the previous sentence
:'''mi pu plipe i ja'e bo mi pu kuspe lo drudi''' — ''I jumped so that I reached the roof.''
:Related words: '''i'''"
bo  ,"
'''bo  ''' <small>[3rd meaning]</small> — placed after preposition to bind constructs from both sides of a conjunction
:'''la Tom pu bilma gi'e ja'e bo pu na kakne lo ka klama''' — ''Tom was ill and that's why couldn't come.''
:'''mi e ba bo do klama lo nenri''' — ''First I, then you enter.''
:Related words: '''i'''"
boi,"
'''boi''' — ends a string of numbers
:'''mi pu citka ci boi ro moi jbari''' — ''I ate three last berries.''
:Comment: usually used to separate a number from the next number belonging to another construct."
bolci,"
'''bolci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a ball
:'''lo bolci''' — ball, sphere. 
:'''lo bolci pu gunro fe'e mo'u lo flu'ente''' — ''The ball rolled into the stream.''
:Related words: '''bliku''', '''cukla''', '''bidju''', '''gunro'''"
bombila,"
'''bombila''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a light bulb
:'''lo bombila''' — light bulb. 
:'''lo bombila cu spofu''' — ''The light bulb is broken.''
:Related words: '''minji''', '''cabra''', '''matra''', '''tutci'''"
bongu,"
'''bongu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bone of body part or body  ''x<sub>2</sub><sub>(entity)</sub>'' <sub>(entity)</sub>'' 
:'''lo bongu''' — bone. 
:'''mi pu darxi lo mi bongu be lo tuple se pi'o lo grana''' — ''I hit my leg bone with a stick.''
:Related words: '''greku''', '''denci''', '''jirna''', '''sarji'''"
boske,"
'''boske''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a forest with components  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo boske''' — forest, selva, jungles. 
:'''ti boske lo clani tricu ce lo kliti dertu''' — ''This is a forest of long trees and clay loams.''
:Related words: '''foldi''', '''tricu''', '''mudri''', '''gumri''', '''danlu'''"
botpi,"
'''botpi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bottle for  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo botpi''' — bottle, jar, flask. '''lo se botpi''' — contents of a bottle. 
:'''lo botpi be lo birje cu blaci''' — ''Bottles of beer are made of glass.''
:Related words: '''baktu''', '''lante''', '''patxu''', '''tansi''', '''tanxe''', '''vasru''', '''gacri'''"
boxfo,"
'''boxfo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a sheet
:'''lo boxfo''' — sheet, blanket. 
:'''mi ba bevri lo boxfo do''' — ''I will bring you a blanket.''
:Related words: '''plita''', '''cinje''', '''polje''', '''slasi''', '''tinci'''"
boxna,"
'''boxna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a wave in  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo boxna''' — wave. 
:'''da pu barda boxna lo xamsi''' — ''There was a big wave in the sea.''
:Related words: '''slilu''', '''dikni''', '''cinje''', '''polje''', '''morna''', '''canre'''"
bradi,"
'''bradi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an enemy of  ''x<sub>2</sub><sub>(entity)</sub>''  in struggle  ''x<sub>3</sub><sub>(property of x1 and x2)</sub>'' 
:'''lo bradi''' — enemy. '''lo se bradi''' — someone who has an enemy. '''lo te bradi''' — struggle between enemies. 
:'''lo tance be mi mi bradi lo nu mi troci lo ka pilno ty lo ka bacru lo lojbo valsi''' — ''My tongue is my enemy when I'm trying to use it to utter Lojban words.''
:Related words: '''damba''', '''jamna''', '''darlu''', '''pendo''', '''fapro''', '''gunta''', '''sarji''', '''jivna''', '''jinga'''"
bramlatu,"
'''bramlatu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a big cat of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bramlatu''' — tiger, lion, panther, leopard, cheetah. 
:'''ju'o cu'i lo bramlatu cu se zdani le tutra''' — ''Big cats may inhabit this area.''
:Related words: '''cinfo''', '''mlatu'''"
bratu,"
'''bratu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is hail
:'''lo bratu''' — hail, sleet. 
:'''lo bratu pu vlile''' — ''The hailstorm was violent.''
:Related words: '''carvi''', '''snime''', '''bisli''', '''tcima'''"
brazo,"
'''brazo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is Brazilian in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo brazo''' — Brazilian. 
:'''le finti cu brazo''' — ''The author is Brazilian.''
:Related words: '''porto''', '''ketco'''"
bredi,"
'''bredi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ready for  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo bredi''' — ready. 
:'''mi bredi lo ka cadzu ka'ai do''' — ''I am ready to walk with you.''
:Related words: '''spaji''', '''jukpa'''"
bridi,"
'''bridi''' — ''x<sub>1</sub><sub>(text)</sub>''  is a clause with the main verb  ''x<sub>2</sub><sub>(property of nonce place, has places for '''ce'u''' referring to x3)</sub>''  and having places  ''x<sub>3</sub><sub>(ordered entity group)</sub>'' 
:'''lo bridi''' — grammatical clause. '''lo se bridi''' — main verb of a clause. '''lo te bridi''' — place of a grammatical clause. 
:'''lu ma nuzba li'u bridi''' — ''&quot;What's up?&quot; is a clause.''
:'''lu mi dunda ti do li'u bridi lo ka dunda vau mi ce'o ti ce'o do''' — ''&quot;I give this to you&quot; is a clause with the main verb &quot;give&quot; and sequential places &quot;I&quot;,&quot;this&quot;,&quot;you&quot;.''
:'''lu mi prami do li'u bridi lo ka ce'u prami ce'u vau mi ce'o do''' — ''&quot;I love you&quot; is a clause with the main verb &quot;someone loves someone&quot; and sequential places &quot;I&quot;,&quot;you&quot;.''
:Related words: '''sumti''', '''fancu'''"
brife,"
'''brife''' — ''x<sub>1</sub><sub>(entity)</sub>''  is wind from direction  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo brife''' — wind. '''lo se brife''' — direction of a wind. 
:'''oi lo brife be lo berti cu du'e roi carmi''' — ''Oh, the northern wind is too strong.''
:Related words: '''tcima'''"
briju,"
'''briju''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an office or bureau of workers  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo briju''' — office (bureau). 
:'''ti briju le mikce''' — ''This is the doctor's office.''
:Related words: '''jibri''', '''gunka'''"
broda,"
'''broda''' <small>[verb]</small> — predicate variable 1
:'''mi pu klama cei broda lo zarci i ba bo mi ze'a sipna i xu do ba broda''' — ''I went to the market, and then I slept. Will you go to the market?''
:Comment: can have any place structure.
:Related words: '''bu'a'''"
brode,"
'''brode''' <small>[verb]</small> — predicate variable 2
:'''la Alis mo'u citka cei brode lo pa plise i je la Kevin cu brode''' — ''Alice has eaten up an apple. And Kevin ate an apple too.''
:Comment: can have any place structure.
:Related words: '''bu'a''', '''broda'''"
brodi,"
'''brodi''' <small>[verb]</small> — predicate variable 3
:'''la Alis cu zbasu cei brodi lo pixra i mi na brodi''' — ''Alice draw pictures. I don't.''
:Comment: can have any place structure.
:Related words: '''bu'a''', '''broda'''"
